Item,Qty,Status
Apple Butter,2,IN STOCK
Apples,0,OUT
Asparagus,2.82,IN STOCK
Baby Back Ribs,1,LOW
Baby Carrots,0,OUT
Bacon,0,OUT
Bacon,0,OUT
"Bagels, Everything",2,IN STOCK
Baked Beans,1,LOW
Banana Peppers,0,OUT
"Beans, Black",0,OUT
"Beans, Dark Red",0,OUT
"Beans, Light Red",0,OUT
"Beans, Pinto",0,OUT
"Beans, Refried",2,IN STOCK
"Beans, White",4,IN STOCK
blackberries,0,OUT
Bone In Pork Shoulder Butt,2,IN STOCK
Boneless Pork Shoulder Butt,1,LOW
Brats (Each),6,IN STOCK
"Breakfast Sandwich, Odom's",2,IN STOCK
Broccoli,7,IN STOCK
Broccoli Parm,0.5,LOW
Broccoli Stir Fry,4,IN STOCK
"Broth, Chicken",1,LOW
"Brown Sugar, Dark",1,LOW
"Brown Sugar, Light",1,LOW
Bubly Sparkling Water,3,IN STOCK
Burgers,8,IN STOCK
Butter,2,IN STOCK
Butter,0,OUT
Caesar Dressing,0,OUT
"Candy, Gummi Bears",2,IN STOCK
"Candy, Mike & Ike",6,IN STOCK
"Candy, Mr. Goodbar",2,IN STOCK
"Canned Fruit, Pears",1,LOW
Canned Pumpkin,1,LOW
"Canned, Baby Corn",1,LOW
"Canned, Black Olives",1,LOW
"Canned, Chicken",2,IN STOCK
"Canned, Corn",6,IN STOCK
"Canned, Crushed Tomato",2,IN STOCK
"Canned, Cut Green Beans",6,IN STOCK
"Canned, Diced Tomatos",1,LOW
"Canned, French Beans",2,IN STOCK
"Canned, Mixed Veggied",0,OUT
"Canned, Peas",2,IN STOCK
"Canned, Pineapple",1,LOW
"Canned, Sour Kraut",2,IN STOCK
"Canned, Tuna",3,IN STOCK
"Cereal, Cocoa Pebbles",2,IN STOCK
"Cereal, Frosted Flakes Choc Milkshake",2,IN STOCK
"Cereal, Frosted Flakes Cookies&Cream",2,IN STOCK
"Cereal, Frosted Flakes Strawberry",2,IN STOCK
"Cereal, Frosted Mini Wheats",4,IN STOCK
"Cereal, Honey Bunches Almonds",4,IN STOCK
"Cereal, Honey Bunches Strawberries",4,IN STOCK
"Chef Boyaredee, Spegg & MB",1,LOW
Chicken Breast,0,OUT
Chicken Patties,0,OUT
Chimichangs,1 (8 each),IN STOCK
"Chips, Kroger",10,IN STOCK
"Chips, Tortilla Kroger",4,IN STOCK
Chuck Roast,0,OUT
Cold Brew Tea,1,LOW
Corn,3,IN STOCK
Corn Meal ,1,LOW
Corn on Cob Mini,1 (12 each),IN STOCK
Country Ribs,2,IN STOCK
Creamer,2,IN STOCK
Croutons,1,LOW
Cube Steak,1 (2 lbs),IN STOCK
"Deli Ham, Black Forest",1,LOW
Deli Turkey,1,LOW
Diet Pepsi 6pk,2,IN STOCK
Dr Pepper Zero 6pk,2,IN STOCK
"Dressing, Caesar",1,LOW
"Dressing, Italian",1,LOW
Drumsticks Pack,1 (2 lbs),IN STOCK
Dry noodle soup,2,IN STOCK
Eggs,0,OUT
Evaporated Milk,1,LOW
Flour,Too Much,IN STOCK
Franks Red Hot,0,OUT
Freezer Pops,1,LOW
French Toast,0.5,LOW
Fries,1.5,IN STOCK
Fuji Apples ,0,OUT
"Grapes, Cotton Candy",1,LOW
Green Apples,0,OUT
Ground Beef,3 (1 lbs),IN STOCK
Hamburger chips,0,OUT
Hot Dogs,0,OUT
Hot Pocket,0,OUT
Jello Orange,1,LOW
Jelly,0,OUT
"Jelly, Black Berry",1,LOW
Jerk Seasoning,1,LOW
Jiffy Pie Crust,1,LOW
Keilbasa,0,OUT
Kelbasi,2,IN STOCK
Ketchup,0,OUT
Knorr Sides,4,IN STOCK
Lemon Juice,0,OUT
Lipton Iced Tea 12pk,3,IN STOCK
Mac & Cheese,10,IN STOCK
"Mac & Cheese, Aldi",2,IN STOCK
Mandarin oranges,0,OUT
Margarine,1,LOW
Meatballs,0.5,LOW
Michigan Tart Cherry Jam ,0,OUT
"Milk, 2% Gallon",2,IN STOCK
"Milk, Skim Half Gal",2,IN STOCK
mint creamer,0,OUT
Miracel Whip ,0,OUT
Normandy,3,IN STOCK
Oatmeal,Too Much,IN STOCK
Olive Oil ,1,LOW
Oranges,0,OUT
Oregon Chai Concentrate,1,LOW
Pancake Mix,2,IN STOCK
"Pancakes, Frozen Mini",4,IN STOCK
Parmasean Cheese,0,OUT
Pasta Bowtie,1,LOW
Pasta GF Elbow,1,LOW
Pasta Penne,1,LOW
Pasta Roni,1,LOW
Pasta Tri Rot,2,IN STOCK
"Pasta, GF Speghtti",1,LOW
Peanut Butter,2,IN STOCK
Peas,2,IN STOCK
Pepperoni Pizza,2,IN STOCK
Peppers,1,LOW
Peppers,0,OUT
Pizza Rolls ,0.25,LOW
Popcorn Kernels,2,IN STOCK
"Popcorn Seasoning, Butter",2,IN STOCK
"Popcorn Seasoning, Nacho Cheddar",2,IN STOCK
Popcorn Spritzer,2,IN STOCK
Pork Chops,1 (5 lbs),IN STOCK
Pork Loin,0,OUT
Pork Roast,0,OUT
Pork Sausge Patties,1,LOW
Potato Skins,0.5,LOW
"Potatoes, Fingerling (1.5lb)",2,IN STOCK
"Potatoes, Petite Gold (3lb)",1,LOW
Queso Dip,0,OUT
Raspberries,0,OUT
red delicous apples,0,OUT
Rice Vinager,1,LOW
"Rotisserie Chicken (Hot, eat soon)",1,LOW
Salsa,0,OUT
"Salsa, Tostitos",1,LOW
"Sauce, Alfredo",3,IN STOCK
"Sauce, Pasta ",1,LOW
"Sauce, Pizza",2,IN STOCK
Shake & Bake,1,LOW
"Shake & Bake, Franks",1,LOW
Sirloin,0,OUT
"Soup, Chicken Noodle",1,LOW
"Soup, Cream of Chicken",2,IN STOCK
"Soup, Cream of Mushroom",1,LOW
"Soup, French Onion",1,LOW
"Soup, Tomato",0,OUT
Soy Sauce,0,OUT
Soy Sauce,1,LOW
Sparkling Ice (Singles),2,IN STOCK
Spicy Brown Mustard,0,OUT
Spicy Dill Pickles,0,OUT
Spiral Ham,0,OUT
Stew Meat Pack,0,OUT
Strawberries,0,OUT
Sugar,0,OUT
Sweet Baby Rays,2,IN STOCK
Sweet Baby Rays BBQ,0,OUT
Sweet Relish,1,LOW
Syrup,1,LOW
Taco Bell Mild,0,OUT
Tater Tots,0,OUT
Teriyaki,0,OUT
Tomato Paste,2,IN STOCK
Tomatoes,0,OUT
"Tortellini, Frozen",2,IN STOCK
Turkey Burger,2 (3.5 lbs),IN STOCK
"Water, Spring Gallon",8,IN STOCK
"Wine, Riunite Lambrusco 1.5L",2,IN STOCK
Worscheshire Sauce,0,OUT
WW Meals (Smart Ones),6,IN STOCK
Yellow Mustard,0,OUT
Yogurt,10,IN STOCK
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
